;Unnamed: 0;word;weight;company;type;weight_01;cat;index
272;272;awesome;0,193728019;amazon;pros;0,055179898;1;176
345;345;available;0,109320047;amazon;pros;0,031137825;1;346
309;309;atmosphere;0,140679953;amazon;pros;0,040070123;1;262
116;116;associates;-0,254229935;amazon;cons;0,051978002;0;200
101;101;around;-0,0164859;amazon;cons;0,06040447;0;173
276;276;around;-0,0164859;amazon;pros;0,053677269;1;181
136;136;anything;-0,229067245;amazon;cons;0,046833422;0;230
179;179;another;-0,182212581;amazon;cons;0,037253858;0;303
6;6;amazon;0,084701055;amazon;cons;0,334663828;0;10
207;207;amazon;0,084701055;amazon;pros;0,339093413;1;15
255;255;amazing;0,262309496;amazon;pros;0,074714083;1;128
49;49;always;0,007033998;amazon;cons;0,091183254;0;91
243;243;always;0,007033998;amazon;pros;0,087820352;1;95
43;43;also;-0,123210412;amazon;cons;0,096416534;0;86
256;256;also;-0,123210412;amazon;pros;0,067033976;1;141
189;189;almost;-0,177006508;amazon;cons;0,036189462;0;317
356;356;advancement;0,102286049;amazon;pros;0,029134318;1;357
371;371;able;0,097010551;amazon;pros;0,027631689;1;372
318;318;ability;0,127491208;amazon;pros;0,036313549;1;291
67;67;â€™;-0,268112798;amazon;cons;0,083732482;0;119
373;373;â€™;-0,268112798;amazon;pros;0,027214292;1;374
