;Unnamed: 0;word;weight;company;type;wieght_01;cat;index
231;231;nice;0,167353521;microsoft;pros;0,101543814;1;70
32;32;new;0,015946963;microsoft;cons;0,223243598;0;52
226;226;new;0,015946963;microsoft;pros;0,120569689;1;62
149;149;never;-0,214285714;microsoft;cons;0,074852265;0;255
148;148;needs;-0,214912281;microsoft;cons;0,075071132;0;253
40;40;need;-0,576441103;microsoft;cons;0,201356971;0;73
355;355;name;0,044436481;microsoft;pros;0,026962383;1;356
7;7;much;-1;microsoft;cons;0,428540162;0;19
299;299;much;-1;microsoft;pros;0,039356382;1;241
116;116;ms;-0,098997494;microsoft;cons;0,093018166;0;202
339;339;ms;-0,098997494;microsoft;pros;0,02902805;1;339
143;143;moving;-0,224310777;microsoft;cons;0,078354126;0;244
55;55;move;-0,071428571;microsoft;cons;0,150579996;0;102
259;259;move;-0,071428571;microsoft;pros;0,062404871;1;135
197;197;model;-0,168546366;microsoft;cons;0,058875027;0;335
343;343;millions;0,046944992;microsoft;pros;0,028484453;1;344
157;157;might;-0,198621554;microsoft;cons;0,069380608;0;273
105;105;middle;-0,280701754;microsoft;cons;0,09805209;0;186
5;5;microsoft;0,045153198;microsoft;cons;0,504705625;0;12
206;206;microsoft;0,045153198;microsoft;pros;0,278103936;1;14
165;165;meetings;-0,191102757;microsoft;cons;0,066754213;0;284
370;370;medical;0,040673714;microsoft;pros;0,024679278;1;371
163;163;means;-0,19235589;microsoft;cons;0,067191946;0;282
73;73;may;-0,368421053;microsoft;cons;0,128693368;0;132
119;119;market;-0,122807018;microsoft;cons;0,091923835;0;207
373;373;market;-0,122807018;microsoft;pros;0,02435312;1;374
6;6;many;-0,629072682;microsoft;cons;0,477566207;0;16
222;222;many;-0,629072682;microsoft;pros;0,12807132;1;46
11;11;managers;-0,812656642;microsoft;cons;0,354563362;0;26
312;312;managers;-0,812656642;microsoft;pros;0,03511633;1;267
27;27;manager;-0,51566416;microsoft;cons;0,238126505;0;55
342;342;manager;-0,51566416;microsoft;pros;0,028810611;1;343
2;2;management;-1,424185464;microsoft;cons;0,628146203;0;9
254;254;management;-1,424185464;microsoft;pros;0,064905414;1;126
123;123;making;-0,255639098;microsoft;cons;0,089297439;0;214
136;136;makes;-0,231203008;microsoft;cons;0,080761655;0;234
35;35;make;-0,275062657;microsoft;cons;0,216896476;0;66
263;263;make;-0,275062657;microsoft;pros;0,060013046;1;146
186;186;made;-0,172305764;microsoft;cons;0,060188225;0;320
101;101;low;-0,287593985;microsoft;cons;0,100459619;0;178
341;341;love;0,04748253;microsoft;pros;0,028810611;1;342
43;43;lots;0,158752912;microsoft;cons;0,184504268;0;25
213;213;lots;0,158752912;microsoft;pros;0,187975647;1;80
14;14;lot;-0,021303258;microsoft;cons;0,321514555;0;31
217;217;lot;-0,021303258;microsoft;pros;0,156012177;1;33
37;37;long;-0,426065163;microsoft;cons;0,214707814;0;68
319;319;long;-0,426065163;microsoft;pros;0,032724505;1;289
386;386;location;0,037448486;microsoft;pros;0,022722331;1;387
62;62;little;-0,408521303;microsoft;cons;0,14270081;0;112
127;127;limited;-0,250626566;microsoft;cons;0,087546509;0;219
15;15;like;-0,392230576;microsoft;cons;0,293280805;0;35
243;243;like;-0,392230576;microsoft;pros;0,077625571;1;99
23;23;life;0,160007167;microsoft;cons;0,25716787;0;18
210;210;life;0,160007167;microsoft;pros;0,224831485;1;47
160;160;levels;-0,192982456;microsoft;cons;0,067410812;0;279
44;44;level;-0,356516291;microsoft;cons;0,181659006;0;81
345;345;level;-0,356516291;microsoft;pros;0,028375734;1;346
70;70;less;-0,382205514;microsoft;cons;0,133508426;0;122
196;196;leave;-0,168546366;microsoft;cons;0,058875027;0;334
251;251;learning;0,109120229;microsoft;pros;0,066210046;1;123
221;221;learn;0,224870095;microsoft;pros;0,136442705;1;41
65;65;leadership;-0,198621554;microsoft;cons;0,138980083;0;116
314;314;leadership;-0,198621554;microsoft;pros;0,034572733;1;272
372;372;latest;0,040315356;microsoft;pros;0,02446184;1;373
47;47;large;-0,233709273;microsoft;cons;0,173560954;0;86
287;287;large;-0,233709273;microsoft;pros;0,0456621;1;210
45;45;lack;-0,504385965;microsoft;cons;0,17618735;0;83
72;72;know;-0,370300752;microsoft;cons;0,129349967;0;130
180;180;keep;-0,178571429;microsoft;cons;0,062376888;0;310
30;30;job;-0,163533835;microsoft;cons;0,228277522;0;60
238;238;job;-0,163533835;microsoft;pros;0,085018482;1;88
379;379;ive;0,038523562;microsoft;pros;0,023374647;1;380
50;50;internal;-0,340225564;microsoft;cons;0,167213832;0;90
376;376;internal;-0,340225564;microsoft;pros;0,024026962;1;377
246;246;interesting;0,123275399;microsoft;pros;0,074798869;1;103
348;348;intelligent;0,045511557;microsoft;pros;0,027614699;1;349
390;390;insurance;0,03619423;microsoft;pros;0,021961296;1;391
181;181;instead;-0,177318296;microsoft;cons;0,061939155;0;312
364;364;innovative;0,042107149;microsoft;pros;0,025549032;1;365
111;111;innovation;-0,121553885;microsoft;cons;0,09455023;0;193
362;362;innovation;-0,121553885;microsoft;pros;0,02587519;1;363
179;179;industry;0,041211252;microsoft;cons;0,062595754;0;155
265;265;industry;0,041211252;microsoft;pros;0,056099152;1;308
188;188;individual;-0,171679198;microsoft;cons;0,059969359;0;322
153;153;impact;0,047303351;microsoft;cons;0,071788137;0;129
